001,008$07:4,100$a,100$c,100$q,100$d,245$a,245$b,250$a,260$a,260$b,260$c,300$a,300$c
"N10049","1758","Davila, Arrigo Caterino,",,,"1576-1631.","The history of the civil wars of France.","In which are related, the most remarkable transactions that happened during the reigns of Francis the Second, Charles the Ninth, Henry the Third, and, Henry the Fourth, surnamed the Great. A new translation from the Italian of Henrico Caterino Davila. By Ellis Farneworth, M. A. ... ",,"London :","printed for D. Browne, without Temple-Bar A. Millar, in the Strand J. Whiston and B. White, in Fleet-Street R. and J. Dodsley, in Pall-Mall and W. Sandby, in Fleet-Street,","MDCCLVIII. [1758] ","2v. ","4⁰. "
"N10081","1728","Holland, Richard,",,,"1688-1730.","Observations on the small pox: or, An essay to discover a more effectual method of cure.","By Richard Holland, M.D. Fellow of the College of Physicians and the Royal Society.",,"London :","printed for John Brindley, Bookbinder to the Majesty, at the King's Arms in New-Bond-Street,","1728.","[8],xix,[1],76,79-164[i.e.162]p. ","8⁰."
"N101","1733","Hasledine, William,",,,"1713 or 14-1773.","The beau and the academick.","A dialogue in imitation of Bellus homo and academicus, spoken at the late publick act at Oxford. Address'd to the ladies. ",,"London :","printed for J. Roberts,","[1733] ","[4],12p. ","4⁰. "
"N10263","1767","Clarke, John,",,,"1687-1734.","A new grammar of the Latin tongue, comprising all necessary for grammar-schools.","To which is annexed a dissertation upon language. By John Clarke, Author of the Two Essays upon Education and Study, Introduction to the Making of Latin, &c.","The fifth edition, corrected.","London :","printed for L. Hawes, W. Clarke, and R. Collins, in Pater-Noster Row,","M.DCC.LXVII. [1767] ","xv,[3],173,[1]p. ","12⁰."
"N10280","1710","Spinckes, Nathaniel,",,,"1654-1727.","The new pretenders to prophecy re-examined:","and their pretences shewn to be groundless and false. And Sir R. Bulkeley and A. Whitro convicted of very foul practices, in order to the carrying on their imposture. By N. Spinckes a Presbyter of the Church of England. ",,"London :","printed for Richard Sare, at Grays-Inn-Gate in Holbourn,","1710. ","xvi,56p. ","8⁰. "
"N10286","1768","Jago, Richard,",,,"1715-1781.","Labour, and genius: or, the mill-stream, and the cascade.","A fable. Written in the year, 1762; and inscribed to the late William Shenstone, Esq; By Richard Jago, A.M.",,"London :","printed for J. Dodsley, in Pall-Mall,","1768.","[4],18,[2]p. :","4⁰."
"N10355","1720","Wotton, William,",,,"1666-1727.","The omniscience of the Son of God,","an undoubted argument of his divinity: being a discourse upon St. Mark xiii. 32. By W. Wotton, D.D. ",,"London :","printed by W. Bowyer for Tim. Goodwin, at the Queen's Head against St. Dunstans Church in Fleet-Street,","1720. ","[6],54,[2]p. ","8⁰. "
"N10407","1743",,,,,"Laws relating to the poor,","from the forty-third of Queen Elizabeth to the third of King George II. With cases adjudged in the Court of King's Bench, upon the several Clauses of them. In a Method entirely New. The second edition corrected. By Robert Foley Esq; Barrister at Law.",,"[London] :","In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street,","MDCCXLIII. [1743]","[32],284,[20]p. ","8⁰."
"N10549","1761","Sheridan, Frances Chamberlaine,",,,"1724-1766.","Memoirs of Miss Sidney Bidulph,","extracted from her own journal, and now first published. In three volumes. ... ",,"London :","printed for R. and J. Dodsley, in Pall-Mall,","M.DCC.I.XI. [1761] ","3v. ","12⁰. "
"N10660","1774","Middleton, Conyers,",,,"1683-1750.","The origin of printing:","in two essays: I. The substance of Dr. Middleton's Dissertation on the origin of printing in England. II. Mr. Meerman's account of the invention of the art. An appendix is annexed, 1. On the first-printed Greek books. 2. On the first-printed Hebre w books, with Observations on some modern Editions; and a Collation, from Walton's Polyglott, of a remarkable Passage, as printed in Kings and Chronicles. 3. On the early polyglotts.",,"London :","printed for W. Bowyer and J. Nichols, at Cicero's Head, Red-Lion-Passage, Fleet-Street,","MDCCLXXIV. [1774] ","xvi,144,[2]p. ","8⁰."
"N10664","1749","Le Dran, Henri-François,",,,"1685-1770.","The operations in surgery","of Mons. Le Dran, Senior Surgeon of the Hospital of La Charite, Consultant Surgeon to the Army, Member of the Academy of Surgery at Paris, and Fellow of the Royal Society at London. Translated by Thomas Gataker, surgeon. With remarks, plates of the operations, and a sett of instruments, by William Cheselden, Esq. Surgeon to the Royal Hospital at Chelsea, and Member of the Academy of Surgery at Paris.",,"London :","printed for C. Hitch in Pater-Noster-Row, and R. Dodsley, in Pall-Mall,","MDCCXLIX. [1749] ","[8],473,[3]p.,XXI [i.e. 22] plates ","8⁰."
"N10670","1751","Hurd, Richard,",,,"1720-1808.","The opinion of an eminent lawyer, concerning the right of appeal from the Vice-Chancellor of Cambridge, to the Senate","Supported by a short historical Account of the Jurisdiction of the University. In answer to a late pamphlet, intitled, An inquiry into the right of appeal from the Chancellor or Vice-Chancellor of the University of Cambridge, &c. By a fellow of a college.","The third edition.","London :","printed, and sold by M. Cooper, at the Globe, in Pater-Noster-Row,","MDCCLI. [1751] ","[2],65,[1]p. ","8⁰."
"N10689","1736",,,,,"A new scheme for reducing the laws relating to the poor into one act of Parliament,","and for the better providing the impotent poor with necessaries, the industrious with work, and, for the correction of idle poor. ",,"London :","printed for T. Cooper at the Globe in Pater-noster-row,","MDCCXXXVI [1736].","vi,26p. ","8⁰. "
"N1088","1720","Fracastoro, Girolamo,",,,"1478-1553.","Hieronymi Fracastorii syphilis,","sive Morbus Gallicus. ",,"Londini :","apud Jonam Bowyer,","1720. ","[8],69,[1]p.,plate :","4⁰. "
"N11387","1750","Cicero, Marcus Tullius.",,,,"M. T. Ciceronis orationes quædam selectæ, cum interpretatione & notis, quas in usum serenissimi Delphini edidit P. Carolus Meroüille S.J. Quibus præfigitur vita Ciceronis ... His adjiciuntur in tres orationes notæ ... ex Asconio, P. Manutio, ... Huic editioni accesserunt dialogi de senectute & de amicitia.",,"Editio septima, emendatior.","Londini :","impensis W. Innys, R. Ware, J. & P. Knapton, T. Longman, J. Clarke, [and 7 others in London],","1750.","[8],xxx,554,[16]p. ","8⁰."
